rank,balldontlieId,name,position,team
1,463,Harry Kane,FWD,England
2,149,Kylian Mbappé,FWD,France
3,238,Lionel Messi,FWD,Argentina
4,9227,Vinícius Júnior,FWD,Brazil
5,8799,Jude Bellingham,MID,England
6,30497,Lamine Yamal,MID,Spain
7,30232,Erling Haaland,FWD,Norway
8,8798,Bukayo Saka,FWD,England
9,92,Cristiano Ronaldo,FWD,Portugal
10,158,Ousmane Dembélé,FWD,France
11,9323,Rafael Leão,FWD,Portugal
12,109,Bruno Fernandes,MID,Portugal
13,29945,Florian Wirtz,MID,Germany
14,9105,Jamal Musiala,MID,Germany
15,9087,Nico Williams,MID,Spain
16,9078,Pedri,MID,Spain
17,9226,Raphinha,MID,Brazil
18,9073,Rodri,MID,Spain
19,9326,Vitinha,MID,Portugal
20,9377,Darwin Núñez,FWD,Uruguay
21,8737,Memphis Depay,FWD,Netherlands
22,450,Romelu Lukaku,FWD,Belgium
23,8719,Cody Gakpo,MID,Netherlands
24,9359,Federico Valverde,MID,Uruguay
25,8722,Frenkie de Jong,MID,Netherlands
26,9194,Jérémy Doku,MID,Belgium
27,442,Kevin De Bruyne,MID,Belgium
28,29684,Luis Díaz,MID,Colombia
29,30237,Martin Ødegaard,MID,Norway
30,29918,Bradley Barcola,FWD,France
31,29943,Deniz Undav,FWD,Germany
32,139,Achraf Hakimi,DEF,Morocco
33,9170,Josip Stanišić,DEF,Croatia
34,29917,Désiré Doué,FWD,France
35,9085,Ferran Torres,FWD,Spain
36,30314,Francisco Conceição,FWD,Portugal
37,9318,Gonçalo Ramos,FWD,Portugal
38,29609,Igor Thiago,FWD,Brazil
39,29920,Jean Philippe Mateta,FWD,France
40,9321,João Félix,FWD,Portugal
41,9094,Kai Havertz,FWD,Germany
42,477,Marcus Rashford,FWD,England
43,8981,Marcus Thuram,FWD,France
44,29607,Matheus Cunha,FWD,Brazil
45,29944,Maximilian Beier,FWD,Germany
46,30494,Mikel Oyarzabal,FWD,Spain
47,29894,Ollie Watkins,FWD,England
48,100,Bernardo Silva,MID,Portugal
49,9245,Bruno Guimarães,MID,Brazil
50,9316,Diogo Dalot,DEF,Portugal
51,9079,Dani Olmo,MID,Spain
52,29898,Eberechi Eze,MID,England
53,9224,Lucas Paquetá,MID,Brazil
54,30319,Pedro Neto,MID,Portugal
55,30233,Alexander Sørloth,FWD,Norway
56,232,Andrej Kramarić,FWD,Croatia
57,9324,João Cancelo,DEF,Portugal
58,30234,Antonio Nusa,FWD,Norway
59,140,Ayoub El Kaabi,FWD,Morocco
60,30183,Brian Brobbey,FWD,Netherlands
61,29966,Alexander Nübel,GK,Germany
62,9199,Charles De Ketelaere,FWD,Belgium
63,308,Alisson,GK,Brazil
64,29682,Cucho Hernández,FWD,Colombia
65,10691,David Raya,GK,Spain
66,30182,Donyell Malen,FWD,Netherlands
67,9335,Diogo Costa,GK,Portugal
68,9322,Nuno Mendes,DEF,Portugal
69,29683,Jhon Córdoba,FWD,Colombia
70,9223,Alex Sandro,DEF,Brazil
71,8891,Emiliano Martínez,GK,Argentina
72,30236,Jørgen Strand Larsen,FWD,Norway
73,9076,Aymeric Laporte,DEF,Spain
74,471,Jordan Pickford,GK,England
75,30510,Marc Cucurella,DEF,Spain
76,9197,Leandro Trossard,FWD,Belgium
77,29938,Mike Maignan,GK,France
78,29681,Luis Javier Suárez,FWD,Colombia
79,9242,Bremer,DEF,Brazil
80,8970,Theo Hernández,DEF,France
81,8729,Noa Lang,FWD,Netherlands
82,8975,Dayot Upamecano,DEF,France
83,8976,Jules Koundé,DEF,France
84,30151,Soufiane Rahimi,FWD,Morocco
85,252,Nicolás Tagliafico,DEF,Argentina
86,30511,Pedro Porro,DEF,Spain
87,8723,Wout Weghorst,FWD,Netherlands
88,304,Danilo,DEF,Brazil
89,9152,Abdessamad Ezzalzouli,MID,Morocco
90,9140,Azzedine Ounahi,MID,Morocco
91,30331,Gonçalo Inácio,DEF,Portugal
92,9157,Bilal El Khannouss,MID,Morocco
93,465,John Stones,DEF,England
94,30255,Ørjan Nyland,GK,Norway
95,8969,Ibrahima Konaté,DEF,France
96,30153,Brahim Díaz,MID,Morocco
97,30506,Alejandro Grimaldo,MID,Spain
98,30203,Bart Verbruggen,GK,Netherlands
99,29619,Gabriel Magalhães,DEF,Brazil
100,30635,Brian Rodríguez,MID,Uruguay
101,29563,Dodi Lukebakio,MID,Belgium
102,2023,Camilo Vargas,GK,Colombia
103,3,Giorgian de Arrascaeta,MID,Uruguay
104,223,Ivan Perišić,MID,Croatia
105,443,Thibaut Courtois,GK,Belgium
106,530,James Rodríguez,MID,Colombia
107,239,Nicolás Otamendi,DEF,Argentina
108,527,Juan Fernando Quintero,MID,Colombia
109,9092,Marcos Llorente,DEF,Spain
110,217,Luka Modrić,MID,Croatia
111,640,Bono,GK,Morocco
112,227,Mateo Kovačić,MID,Croatia
113,9374,Nicolás de la Cruz,MID,Uruguay
114,1122,Dominik Livaković,GK,Croatia
115,30238,Oscar Bobb,MID,Norway
116,309,Marquinhos,DEF,Brazil
117,13,Rodrigo Bentancur,MID,Uruguay
118,9068,Ayase Ueda,FWD,Japan
119,30330,Nélson Semedo,DEF,Portugal
120,322,Breel Embolo,FWD,Switzerland
121,8818,Christian Pulišić,FWD,USA
122,9057,Daizen Maeda,FWD,Japan
123,770,Rúben Dias,DEF,Portugal
124,30650,Folarin Balogun,FWD,USA
125,8978,William Saliba,DEF,France
126,9265,Gregor Kobel,GK,Switzerland
127,8826,Haji Wright,FWD,USA
128,8822,Matt Turner,GK,USA
129,9261,Noah Okafor,FWD,Switzerland
130,30095,Zion Suzuki,GK,Japan
131,9269,Ardon Jashari,MID,Switzerland
132,8829,Giovanni Reyna,MID,USA
133,9062,Junya Ito,MID,Japan
134,531,Davinson Sánchez,DEF,Colombia
135,30655,Malik Tillman,MID,USA
136,30638,Joaquín Piquerez,DEF,Uruguay
137,9258,Rubén Vargas,MID,Switzerland
138,9072,Takefusa Kubo,MID,Japan
139,8824,Tim Weah,MID,USA
140,538,Johan Mojica,DEF,Colombia
141,8828,Weston McKennie,MID,USA
142,8972,Adrien Rabiot,MID,France
143,2,José María Giménez,DEF,Uruguay
144,8727,Jurriën Timber,DEF,Netherlands
145,8973,Aurélien Tchouaméni,MID,France
146,296,Casemiro,MID,Brazil
147,8731,Denzel Dumfries,MID,Netherlands
148,9176,Josip Šutalo,DEF,Croatia
149,8825,Antonee Robinson,DEF,USA
150,8809,Declan Rice,MID,England
151,8725,Nathan Aké,DEF,Netherlands
152,9362,Mathías Olivera,DEF,Uruguay
153,30505,Fabián Ruiz,MID,Spain
154,474,Jordan Henderson,MID,England
155,9165,Joško Gvardiol,DEF,Croatia
156,445,Thomas Meunier,DEF,Belgium
157,30318,João Neves,MID,Portugal
158,29899,Kobbie Mainoo,MID,England
159,29928,Manu Koné,MID,France
160,9137,Nayef Aguerd,DEF,Morocco
161,9190,Timothy Castagne,DEF,Belgium
162,8834,Sergiño Dest,DEF,USA
163,30504,Martín Zubimendi,MID,Spain
164,30636,Ronald Araújo,DEF,Uruguay
165,154,N'Golo Kanté,MID,France
166,9146,Noussair Mazraoui,DEF,Morocco
167,8724,Virgil van Dijk,DEF,Netherlands
168,9082,Pablo Gavi,MID,Spain
169,9331,Rúben Neves,MID,Portugal
170,311,Ricardo Rodríguez,DEF,Switzerland
171,9066,Takehiro Tomiyasu,DEF,Japan
172,313,Manuel Akanji,DEF,Switzerland
173,8823,Tim Ream,DEF,USA
174,9195,Amadou Onana,MID,Belgium
175,540,Jefferson Lerma,MID,Colombia
176,30188,Ryan Gravenberch,MID,Netherlands
177,8733,Teun Koopmeiners,MID,Netherlands
178,30187,Tijjani Reijnders,MID,Netherlands
179,454,Youri Tielemans,MID,Belgium
180,9086,Unai Simón,GK,Spain
181,9053,Ao Tanaka,MID,Japan
182,9067,Daichi Kamada,MID,Japan
183,326,Denis Zakaria,MID,Switzerland
184,315,Granit Xhaka,MID,Switzerland
185,9051,Ritsu Doan,MID,Japan
186,8819,Tyler Adams,MID,USA
187,430,Antonio Rüdiger,DEF,Germany
188,29892,Anthony Gordon,FWD,England
189,29910,Dan Burn,DEF,England
190,30496,Borja Iglesias,FWD,Spain
191,8892,Cristian Romero,DEF,Argentina
192,9096,David Raum,DEF,Germany
193,29606,Endrick,FWD,Brazil
194,9244,Gabriel Martinelli,FWD,Brazil
195,29895,Ivan Toney,FWD,England
196,29909,Djed Spence,DEF,England
197,29478,José Manuel López,FWD,Argentina
198,8882,Julián Alvarez,FWD,Argentina
199,8899,Lautaro Martínez,FWD,Argentina
200,292,Neymar,FWD,Brazil
201,29911,Ezri Konsa,DEF,England
202,29942,Nick Woltemade,FWD,Germany
203,10694,Eric García,DEF,Spain
204,29625,Douglas Santos,DEF,Brazil
205,29497,Facundo Medina,DEF,Argentina
206,29893,Noni Madueke,FWD,England
207,30493,Victor Muñoz,FWD,Spain
208,29959,Jonathan Tah,DEF,Germany
209,10699,Yéremy Pino,FWD,Spain
210,8897,Gonzalo Montiel,DEF,Argentina
211,29950,Aleksandar Pavlović,MID,Germany
212,29907,Jarell Quansah,DEF,England
213,30507,Alex Baena,MID,Spain
214,8880,Alexis Mac Allister,MID,Argentina
215,29952,Angelo Stiller,MID,Germany
216,8890,Lisandro Martínez,DEF,Argentina
217,34957,Assan Ouédraogo,MID,Germany
218,29904,Nico O'Reilly,DEF,England
219,29937,Lucas Digne,DEF,France
220,29960,Malick Thiaw,DEF,Germany
221,29617,Danilo Oliveira,MID,Brazil
222,29901,Elliot Anderson,MID,England
223,8879,Enzo Fernández,MID,Argentina
224,8898,Exequiel Palacios,MID,Argentina
225,9228,Fabinho,MID,Brazil
226,29903,Reece James,DEF,England
227,29905,Marc Guéhi,DEF,England
228,29954,Felix Nmecha,MID,Germany
229,30514,Marc Pubill,DEF,Spain
230,30321,Francisco Trincão,MID,Portugal
231,1258,Giovani Lo Celso,MID,Argentina
232,29485,Giuliano Simeone,MID,Argentina
233,29963,Nathaniel Brown,DEF,Germany
234,102,Gonçalo Guedes,MID,Portugal
235,162,Lucas Hernández,DEF,France
236,29956,Jamie Leweling,MID,Germany
237,29623,Léo Pereira,DEF,Brazil
238,422,Joshua Kimmich,MID,Germany
239,9102,Nico Schlotterbeck,DEF,Germany
240,8881,Leandro Paredes,MID,Argentina
241,29933,Malo Gusto,DEF,France
242,428,Leon Goretzka,MID,Germany
243,9101,Leroy Sané,MID,Germany
244,29616,Luiz Henrique,MID,Brazil
245,9332,Matheus Nunes,DEF,Portugal
246,29927,Maghnes Akliouche,MID,France
247,29936,Maxence Lacroix,DEF,France
248,29921,Michael Olise,MID,France
249,8894,Nahuel Molina,DEF,Argentina
250,30503,Mikel Merino,MID,Spain
251,29900,Morgan Rogers,MID,England
252,29955,Nadiem Amiri,MID,Germany
253,29480,Nico Paz,MID,Argentina
254,30508,Pau Cubarsí,DEF,Spain
255,29486,Nicolás González,MID,Argentina
256,29953,Pascal Groß,MID,Germany
257,30329,Renato Veiga,DEF,Portugal
258,29613,Rayan,MID,Brazil
259,29626,Roger Ibañez,DEF,Brazil
260,29923,Rayan Cherki,MID,France
261,29908,Tino Livramento,DEF,England
262,8888,Rodrigo De Paul,MID,Argentina
263,30332,Tomás Araújo,DEF,Portugal
264,30323,Samú Costa,MID,Portugal
265,29962,Waldemar Anton,DEF,Germany
266,8887,Thiago Almada,MID,Argentina
267,29488,Valentín Barco,MID,Argentina
268,29925,Warren Zaïre-Emery,MID,France
269,37131,Éderson,MID,Brazil
270,29939,Brice Samba,GK,France
271,29914,Dean Henderson,GK,England
272,1788,Ederson,GK,Brazil
273,10120,Gerónimo Rulli,GK,Argentina
274,29912,James Trafford,GK,England
275,30515,Joan García,GK,Spain
276,10975,José Sá,GK,Portugal
277,29499,Juan Musso,GK,Argentina
278,437,Manuel Neuer,GK,Germany
279,29967,Oliver Baumann,GK,Germany
280,29940,Robin Risser,GK,France
281,30335,Rui Silva,GK,Portugal
282,9243,Weverton,GK,Brazil
283,11,Fernando Muslera,GK,Uruguay
284,29690,Daniel Muñoz,MID,Colombia
285,9180,Ante Budimir,FWD,Croatia
286,30152,Ayoube Amaimouni Echghouyab,FWD,Morocco
287,30625,Federico Viñas,FWD,Uruguay
288,29735,Igor Matanović,FWD,Croatia
289,30235,Jens Petter Hauge,FWD,Norway
290,29555,Matías Fernández-Pardo,FWD,Belgium
291,29736,Petar Musa,FWD,Croatia
292,30626,Rodrigo Aguirre,FWD,Uruguay
293,30624,Rodrigo Zalazar,FWD,Uruguay
294,30250,David Møller Wolfe,DEF,Norway
295,9371,Agustín Canobbio,MID,Uruguay
296,29561,Alexis Saelemaekers,MID,Belgium
297,30239,Andreas Schjelderup,MID,Norway
298,10399,Arthur Theate,DEF,Belgium
299,29691,Andrés Gómez,MID,Colombia
300,30252,Fredrik André Bjørkan,DEF,Norway
301,455,Axel Witsel,MID,Belgium
302,30162,Ayyoub Bouaddi,MID,Morocco
303,29574,Brandon Mechele,DEF,Belgium
304,30160,Chemsdine Talbi,MID,Morocco
305,29702,Deiver Machado,DEF,Colombia
306,30193,Crysencio Summerville,MID,Netherlands
307,30169,Anass Salah-Eddine,DEF,Morocco
308,30253,Henrik Sælebakke Falchener,DEF,Norway
309,29562,Diego Moreira,MID,Belgium
310,30633,Emiliano Martínez,MID,Uruguay
311,9376,Facundo Pellistri,MID,Uruguay
312,30168,Chadi Riad,DEF,Morocco
313,30240,Fredrik Aursnes,MID,Norway
314,5,Guillermo Varela,DEF,Uruguay
315,30161,Gessime Yassine,MID,Morocco
316,233,Duje Ćaleta-Car,DEF,Croatia
317,29694,Gustavo Puerta,MID,Colombia
318,30201,Jan Paul van Hecke,DEF,Netherlands
319,30194,Guus Til,MID,Netherlands
320,29699,Jhon Lucumí,DEF,Colombia
321,10400,Hans Vanaken,MID,Belgium
322,30249,Kristoffer Ajer,DEF,Norway
323,30158,Ismael Saibari,MID,Morocco
324,29573,Joaquin Seys,DEF,Belgium
325,29695,Jaminton Campaz,MID,Colombia
326,30199,Jorrel Hato,DEF,Netherlands
327,29687,Jhon Arias,MID,Colombia
328,30248,Leo Østigård,DEF,Norway
329,29688,Jorge Carrascal,MID,Colombia
330,30170,Issa Diop,DEF,Morocco
331,29696,Juan Portilla,MID,Colombia
332,30645,Juan Sanabria,DEF,Uruguay
333,30242,Julian Ryerson,MID,Norway
334,29568,Koni De Winter,DEF,Belgium
335,30192,Justin Kluivert,MID,Netherlands
336,29566,Maxim De Cuyper,DEF,Belgium
337,29693,Kevin Castaño,MID,Colombia
338,9375,Matías Viña,DEF,Uruguay
339,30245,Kristian Thorstvedt,MID,Norway
340,10377,Kristijan Jakić,MID,Croatia
341,32696,Lutsharel Geertruida,DEF,Netherlands
342,10375,Luka Sučić,MID,Croatia
343,29750,Luka Vušković,DEF,Croatia
344,10837,Manuel Ugarte,MID,Uruguay
345,29745,Marco Pašalić,MID,Croatia
346,30247,Marcus Pedersen,MID,Norway
347,9177,Mario Pašalić,MID,Croatia
348,29754,Marin Pongračić,DEF,Croatia
349,8735,Marten de Roon,MID,Netherlands
350,29740,Martin Baturina,MID,Croatia
351,30246,Morten Thorsby,MID,Norway
352,535,Santiago Arias,DEF,Colombia
353,30159,Neil El Aynaoui,MID,Morocco
354,30254,Sondre Langås,DEF,Norway
355,29565,Nicolas Raskin,MID,Belgium
356,29747,Nikola Moro,MID,Croatia
357,30202,Mats Wieffer,DEF,Netherlands
358,9179,Nikola Vlašić,MID,Croatia
359,30243,Patrick Berg,MID,Norway
360,29741,Petar Sučić,MID,Croatia
361,10371,Martin Erlić,DEF,Croatia
362,30641,Maximiliano Araújo,DEF,Uruguay
363,30190,Quinten Timber,MID,Netherlands
364,29703,Willer Ditta,DEF,Colombia
365,30200,Micky van de Ven,DEF,Netherlands
366,29686,Richard Ríos,MID,Colombia
367,29571,Nathan Ngoy,DEF,Belgium
368,30163,Samir El Mourabet,MID,Morocco
369,30244,Sander Berge,MID,Norway
370,143,Sofyan Amrabat,MID,Morocco
371,30251,Torbjørn Heggem,DEF,Norway
372,30643,Santiago Bueno,DEF,Uruguay
373,30241,Thelo Aasgaard,MID,Norway
374,30644,Sebastián Cáceres,DEF,Uruguay
375,29746,Toni Fruk,MID,Croatia
376,30173,Redouane Halhal,DEF,Morocco
377,526,Yerry Mina,DEF,Colombia
378,10397,Zeno Debast,DEF,Belgium
379,30171,Youssef Belammari,DEF,Morocco
380,30172,Zakaria El Ouahdi,DEF,Morocco
381,529,David Ospina,GK,Colombia
382,6142,Ahmed Reda Tagnaouti,GK,Morocco
383,30257,Egil Selvik,GK,Norway
384,29757,Dominik Kotarski,GK,Croatia
385,30204,Mark Flekken,GK,Netherlands
386,29758,Ivor Pandur,GK,Croatia
